Date,Price,High,Low,Close**,Volume,Market Cap
27-10-2015,285.18,296.21,285.01,293.79,"46,331,800","4,211,500,032"
28-10-2015,293.7,306.33,293.7,304.62,"50,808,100","4,338,429,952"
29-10-2015,304.32,318.17,301.82,313.86,"64,495,900","4,496,390,144"
30-10-2015,313.94,334.17,313.94,328.02,"78,305,000","4,639,690,240"
31-10-2015,328.51,332.78,309.25,314.17,"48,598,100","4,856,410,112"
1-11-2015,315.01,327.47,311.88,325.43,"37,001,100","4,657,889,792"
2-11-2015,325.94,365.36,323.21,361.19,"101,918,000","4,820,850,176"
3-11-2015,361.87,417.9,357.65,403.42,"206,162,000","5,353,679,872"
4-11-2015,403.66,495.56,380.55,411.56,"263,900,000","5,973,510,144"
5-11-2015,408.08,447.56,374.58,386.35,"151,824,992","6,040,410,112"
6-11-2015,388.05,395.84,354.02,374.47,"122,687,000","5,745,319,936"
7-11-2015,374.27,390.59,372.43,386.48,"56,625,100","5,542,680,064"
8-11-2015,384.28,389.89,368.7,373.37,"51,817,600","5,692,389,888"
9-11-2015,374.32,385.28,362.89,380.26,"68,224,400","5,546,240,000"
10-11-2015,379.98,381.39,329.11,336.82,"95,797,904","5,631,519,744"
11-11-2015,339.82,340.58,301,311.08,"107,070,000","5,037,510,144"
12-11-2015,314.08,345.08,313.36,338.15,"78,477,800","4,657,240,064"
13-11-2015,338.5,340.91,326.08,336.75,"52,003,000","5,020,700,160"
14-11-2015,336.62,338.18,329.97,332.91,"38,612,000","4,994,250,240"
15-11-2015,333.05,334.66,317.49,320.17,"44,213,100","4,942,419,968"
16-11-2015,319.73,331.63,315.9,330.75,"47,980,100","4,746,070,016"
17-11-2015,330.36,338.35,329.61,335.09,"51,001,600","4,905,260,032"
18-11-2015,334.59,336.53,330.64,334.59,"43,783,800","4,969,330,176"
19-11-2015,334.68,335.33,325.27,326.15,"45,011,100","4,971,879,936"
20-11-2015,326.41,326.47,312.22,322.02,"53,152,900","4,850,169,856"
21-11-2015,322.09,328.16,319.6,326.93,"28,200,500","4,787,339,776"
22-11-2015,326.98,327.01,321.26,324.54,"23,439,400","4,861,340,160"
23-11-2015,324.35,325.12,321.29,323.05,"27,478,900","4,823,699,968"
24-11-2015,323.01,323.06,318.12,320.05,"29,362,600","4,805,159,936"
25-11-2015,320.05,329.13,316.77,328.21,"41,666,900","4,762,229,760"
26-11-2015,328.3,366.76,328.23,352.68,"106,105,000","4,886,329,856"
27-11-2015,351.86,363.59,347.87,358.04,"55,179,100","5,238,499,840"
28-11-2015,357.14,359.54,352.17,357.38,"36,816,600","5,318,300,160"
29-11-2015,357.47,371.94,355.67,371.29,"40,409,300","5,324,610,048"
30-11-2015,371.44,382.36,370.38,377.32,"71,701,600","5,534,000,128"
1-12-2015,377.41,378.93,356.56,362.49,"60,452,200","5,624,580,096"
2-12-2015,361.85,362.23,349.46,359.19,"54,160,500","5,394,070,016"
3-12-2015,359.33,370.27,357.41,361.05,"50,714,900","5,358,040,064"
4-12-2015,361.26,363.52,355.76,363.18,"35,784,100","5,388,109,824"
5-12-2015,363.72,389.79,363.23,388.95,"66,282,200","5,426,180,096"
6-12-2015,389.55,402.81,387.09,388.78,"77,762,000","5,813,289,984"
7-12-2015,389.98,399.97,385.41,395.54,"63,455,800","5,821,139,968"
8-12-2015,395.75,415.56,389.95,415.56,"57,801,400","5,908,810,240"
9-12-2015,414.44,423.12,406.29,417.56,"90,917,200","6,189,620,224"
10-12-2015,417.99,419.51,411.55,415.48,"52,138,900","6,244,360,192"
11-12-2015,415.28,451.94,415.28,451.94,"110,944,000","6,206,150,144"
12-12-2015,452.33,469.1,410.74,435,"131,969,000","6,761,730,048"
13-12-2015,431.66,441.68,426.27,433.76,"55,050,600","6,454,430,208"
14-12-2015,433.27,447.14,430.46,444.18,"130,496,000","6,480,070,144"
15-12-2015,443.88,465.32,443.88,465.32,"83,121,104","6,640,849,920"
16-12-2015,465.21,465.21,443.85,454.93,"107,944,000","6,962,089,984"
